Date,BABA,JD,SMCI,EVRG,SO,NEE,WEC,DUK,CNP,ABNB,UBER,F,SPOT,LCID,SHOPCN,RIVN
2024-10-02,130.044,121.984,81.653,109.619,110.376,131.651,110.666,106.469,101.71,93.25,124.343,98.046,99.756,67.0,96.147,76.812
2024-10-09,123.963,118.959,84.193,108.008,108.45,125.439,108.83,104.51,100.941,93.107,127.228,98.082,99.816,67.375,96.896,76.121
2024-10-16,119.88,115.44,84.724,108.923,109.752,129.923,111.325,107.586,101.448,93.17,132.16,99.023,99.441,76.8,96.455,74.75
2024-10-23,115.826,114.568,83.481,108.9,110.798,130.253,111.534,107.742,101.244,92.96,128.908,99.162,100.136,74.875,96.316,75.777
2024-10-30,116.294,113.917,78.903,107.758,108.331,124.225,109.144,105.085,100.576,93.19,128.224,97.655,101.386,74.0,96.514,77.736
2024-11-06,114.441,112.778,80.92,108.6,107.276,119.1,109.03,104.71,100.537,93.15,122.567,98.909,100.624,74.75,96.526,74.0
2024-11-13,111.337,107.475,84.901,110.65,107.25,118.69,110.05,103.7,101.32,93.3,118.95,99.2,108.041,74.25,103.508,86.28
2024-11-20,107.46,106.303,83.71,110.731,107.626,120.838,111.279,104.997,101.974,93.45,117.783,98.094,108.225,73.75,100.606,79.181
2024-11-27,107.861,109.842,85.25,112.677,108.528,123.675,112.845,106.57,103.699,93.58,119.938,99.25,108.927,74.563,103.2,85.807
2024-12-04,106.731,107.419,88.0,110.701,106.34,120.45,110.542,104.93,103.0,93.65,120.05,98.106,111.725,74.5,103.075,86.081
2024-12-11,109.91,111.347,88.75,109.697,104.84,118.209,109.271,103.65,102.24,93.82,109.6,97.75,108.55,77.3,104.588,92.116
2024-12-18,106.899,108.74,88.625,108.617,104.27,116.9,108.004,102.585,102.161,93.7,110.562,97.084,106.581,77.875,105.02,89.855
2024-12-25,107.372,108.247,89.31,108.164,104.035,115.623,108.223,102.84,102.704,93.7,110.703,96.4,108.032,78.75,102.632,92.358
2025-01-01,106.73,106.503,90.25,108.579,104.496,115.65,107.716,102.65,102.088,93.85,110.501,96.8,106.921,78.5,102.632,93.402
2025-01-08,105.661,106.395,91.063,107.786,104.409,114.414,108.014,102.639,101.736,94.2,115.242,96.738,110.172,80.25,101.625,94.188
2025-01-15,104.732,107.373,89.3,108.6,104.305,113.221,108.277,102.101,102.276,94.25,116.74,97.7,111.318,80.0,101.404,93.635
2025-01-22,107.527,112.2,89.375,109.646,104.503,114.838,109.443,102.8,102.924,94.33,117.764,97.375,111.933,80.25,102.15,89.881
2025-01-29,115.672,114.647,89.375,110.103,104.743,114.989,110.274,103.513,102.9,94.45,116.343,97.563,117.401,80.538,104.635,89.086
2025-02-05,117.933,113.648,89.62,111.213,105.258,114.05,111.779,104.61,102.833,94.65,114.313,98.063,129.297,81.531,106.663,89.453
2025-02-12,132.429,113.066,100.375,113.128,105.939,113.89,112.798,105.138,103.033,94.77,128.205,96.125,131.294,83.497,105.943,88.765
2025-02-19,139.091,112.767,116.897,114.217,106.24,112.894,113.865,103.856,105.192,95.63,128.537,96.55,130.391,85.0,107.704,94.047
