Date,BABA,JD,SMCI,EVRG,SO,NEE,WEC,DUK,CNP,ABNB,UBER,F,SPOT,LCID,SHOPCN,RIVN
2022-10-19,,,,,,,,,,1016.9184998827069,,960.5294946145875,809.998527072788,856.9435769475374,855.8175515783032,
2022-10-26,,,,,,,,,,1016.1888579087731,,994.2491187338636,812.1591382793396,879.8093047123629,862.2566032921164,
2022-11-02,,,,,,,,,,960.7929111824948,,1003.844082865676,804.8117688582264,874.5337326801449,858.272658282806,
2022-11-09,,,,,,,,,,966.2268341470764,,1019.3060574801561,805.7397302231949,848.0728362964904,853.5719715861991,
2022-11-16,,,,,,,,,,995.0097805580733,,1049.2000132607152,819.9387699610986,862.4143473066848,882.3995060924417,
2022-11-23,,,,,,,,,,974.4462832604333,,1057.0361183797386,817.2069983973937,850.257008124941,875.600665926038,
2022-11-30,,,,,,,,,,991.009085353345,,1055.3770630059844,823.6135517390577,854.8995295437027,891.7008288587593,
2022-12-07,,,,,,,,,,968.2631363255034,,1019.4492997248781,825.0619609655548,836.9802147989817,886.5314321550753,
2022-12-14,,,,,,,,,,974.4332694158843,,1042.2241790419853,828.4084450890277,830.1526572527771,886.4782113372875,
2022-12-21,,,,,,,,,,957.2454341498506,,962.5275929402949,826.1831477646219,816.2149956254847,877.4856648389668,
2022-12-28,,,,,,,,,,942.6015478959717,,925.9640678103054,822.6684556621527,801.9391464708887,864.140317027559,
2023-01-04,,,,,,,,,,957.6642691042117,,981.3588626845548,828.1131251515918,808.9268691569229,878.4919873955862,
2023-01-11,,,,,,,,,,974.643849393242,,1045.3162643766839,838.0605800154665,838.6549118443934,879.2254058222053,
2023-01-18,,,,,,,,,,994.0798519661087,,1013.2711712114663,844.7944003036754,851.1898919950239,891.5431933697083,
2023-01-25,,,,,,,,,,999.2144852293927,,1034.5678344238945,847.2057440780146,858.3982223328444,914.3352564362691,
2023-02-01,,,,,,,,,,1022.069724091299,,1086.3045021575053,857.9656630379961,899.3884448983807,926.2733570963253,
2023-02-08,,,,,,,,,,1019.9040340374247,,1059.3655796524208,855.4973882944978,888.4349037467714,920.266314041639,
2023-02-15,,,,,,,,,,1063.1201967079303,,960.1929587499992,852.9700524790824,876.2392960669453,926.9990431875841,
2023-02-22,,,,,,,,,,1037.4084943055486,,929.3452386445151,848.0898080259979,859.9894029111134,896.9301124356404,
2023-03-01,,,,,,,,,,1018.9076532901153,,918.1435307181714,843.2189168482896,839.7971098098333,889.03600068775,
2023-03-08,,,,,,,,,,1025.9337105936224,,941.4591648695748,846.0911036663167,834.1079178451464,896.6255082058484,
2023-03-15,,,,,,,,,,1021.0571904148217,,909.8074996603325,869.4264846051892,846.74829599956,919.3395773227276,
2023-03-22,,,,,,,,,,1039.944905353411,,904.6274905307084,873.714811840785,856.7002536518152,924.9609420480464,
2023-03-29,,,,,,,,,,1029.9848996266585,,920.7580716819956,871.3266962713743,849.3824575537583,926.5869241547751,
2023-04-05,,,,,,,,1061.9745316569329,,1028.7537562433238,,941.8882795643904,880.5742498788416,858.9471249072387,929.3951112059958,
2023-04-12,,,,,,,,1061.7126056486768,,1018.4001074440316,,942.7480259328049,877.6402397749209,860.6893537952727,927.4401182175372,
2023-04-19,,,,,,,,1031.8751373715877,,1029.0937754912918,,921.5099952470509,872.643629181098,846.214103781018,932.3512442236893,
2023-04-26,,,,,,,,1036.938524565775,,1020.2263625417411,,901.1292531453765,881.2065640433935,848.5240423515072,931.0011950358003,
2023-05-03,,,,,,,,1038.4204336072457,,1034.8094901869824,,916.6145950998848,887.9954286124893,855.2013144624412,934.2848029875985,
2023-05-10,,,,,,,,1042.6126305550347,,1022.5779303728011,,919.2202458541294,893.0771823755389,849.6454272311111,993.8955490869955,
2023-05-17,,,,,,,,1019.8119717253874,,1006.6904480031214,,903.7509279554122,890.2871625095189,848.2274771482953,982.9748751547938,
2023-05-24,,,,,,,,1007.5444350021827,,996.3455750098244,,894.4282364063108,885.7916613553406,845.6690110450699,973.1282393655773,
2023-05-31,,,,,,,,1006.2136742531465,,1004.7457407384454,,917.7895044602194,888.4739218714891,849.8223899910045,966.9938866509532,
2023-06-07,,,,,,,,1008.3732338433188,,1014.7595248423149,,975.3385161558245,885.2900696595395,830.7432521537048,972.0926338966538,
2023-06-14,,,,,,,,1007.0127273816616,,1031.9899898883943,,1001.54894497809,886.8941887219771,831.4251989228846,992.5738468908957,
2023-06-21,,,,,,,,1007.8665143125963,,1036.9917809249162,,995.5657378302587,891.189691231155,823.7689962741853,982.9457255601244,
2023-06-28,,,,,,,,1002.5488589497327,,1036.539238752257,,1028.4863762889752,892.972199916371,832.3629831603839,988.0744203197123,
