Date,ABNB,BABA,CNP,DUK,EVRG,F,JD,LCID,NEE,RIVN,SHOPCN,SMCI,SO,SPOT,UBER,WEC
2023-01-04,869.8402211822959,,,,,969.7804385948555,,801.2463106888615,,,875.9742845661327,,,829.075616542777,,
2023-01-11,877.5085739310124,,,,,1021.1827910166787,,822.2510650853602,,,874.1660515977308,,,837.384141390677,,
2023-01-18,884.3253141184714,,,,,986.6180938779371,,833.8077873466062,,,878.4545532524713,,,842.8666859729612,,
2023-01-25,881.7010018049804,,,,,990.9588220644083,,835.394927204114,,,892.3689668289201,,,843.4532725357033,,
2023-02-01,895.0174352789013,,,,,1035.49660922003,,892.0035802011326,,,901.0637901753826,,,848.367898056739,,
2023-02-08,894.9764012954698,,,,,1006.8640703910087,,873.2575186527384,,,898.5238392688154,,,846.3396283090033,,
2023-02-15,909.8640380803421,,,,,951.2913601286325,,861.0894825525592,,,901.8914560757925,,,843.9870511462926,,
2023-02-22,900.1823539453031,,,,,923.1431668999661,,847.3566030202018,,,877.01043046416,,,841.0717115314916,,
2023-03-01,887.6160188001081,,,,,929.3417693323586,,818.6475214583467,,,870.0533873601155,,,836.6645544885337,,
2023-03-08,888.2270708121663,,,,,959.6831898072488,,811.3420583720807,,,871.706042067528,,,836.5587048522798,,
2023-03-15,905.5265939957374,,,,,937.2063593859434,,829.3782195459605,,,898.9315603538921,,,863.4044081629372,,
2023-03-22,912.4352996131836,,,,,927.6630160968805,,839.2950439734818,,,901.5939317551332,,,866.0299508812467,,
2023-03-29,903.0412147374022,,,,,942.2800201375638,,832.1251189089544,,,898.8767322314205,,,862.733827633689,,
2023-04-05,910.3184903493939,,,1047.211405135389,,967.7695682694329,,841.3658991163841,,,904.2863747560339,,,872.3995387074709,,
2023-04-12,905.8062751978777,,,1045.775382268906,,970.9446275806225,,841.9401799630541,,,902.2288088014894,,,869.2160540550442,,
2023-04-19,901.3246747991915,,,1033.4806912405459,,940.7970168760036,,825.9328891254788,,,900.1165338268198,,,863.4770936318749,,
2023-04-26,906.1285510601369,,,1044.9110596023752,,923.7662958210248,,836.0754152354195,,,904.9293291763877,,,870.44353293614,,
2023-05-03,915.585467213338,,,1046.0868318933135,,932.7990813753208,,841.3889948956516,,,908.9205449014214,,,877.3920524751222,,
2023-05-10,905.3117406630852,,,1044.1849606059266,,930.6456483048448,,833.4491515683993,,,941.3381366309735,,,880.0970667474538,,
2023-05-17,896.7581486817838,,,1023.9817051188728,,911.6694793667582,,830.9462366890045,,,928.8263564502292,,,877.0337199939931,,
2023-05-24,893.6545207497659,,,1016.1509237377927,,902.2649745844275,,831.7285520176848,,,925.542135368875,,,872.7862680568976,,
2023-05-31,895.6287866105162,,,1010.5851840506293,,930.4219892290947,,833.5113042208142,,,920.8366047528629,,,875.4251092971311,,
2023-06-07,895.5424471804471,,,1007.3670760258967,,989.6976966971274,,817.2263233724535,,,919.066743742824,,,871.471732172102,,
2023-06-14,902.4899977128558,,,1004.4915048346201,,1022.9279041688202,,816.4959782253153,,,935.0592503053844,,,872.1193073233995,,
2023-06-21,905.1735810205728,,,1002.9264020419113,,1011.9715103478514,,812.430307804731,,,928.4310116798005,,,875.857580074093,,
2023-06-28,903.9598530377424,,,995.214776413926,,1050.2214152205966,,819.2772630864825,,,925.9757997786436,,,876.748059319796,,
2023-07-05,903.6086142652924,,,993.1167648089706,,1082.6149483486988,,820.9998643716115,,,921.7099685911894,,,872.4121462611748,,
2023-07-12,913.9534713955265,,,998.3876879844568,,1074.2793867716998,,823.6613022295332,,,927.9282085857731,,,878.9748476580322,,
2023-07-19,927.3730533733201,,,998.1649617997884,,1009.6488977831352,,824.6531834737093,,,935.5033644937138,,,887.5216765257295,,
2023-07-26,929.6103648426563,,,1007.4267321956445,,989.789366466308,,824.3414993562151,,,930.1060231621955,,,875.2699683390762,,
2023-08-02,925.3552942343047,,,1002.8553567731857,,957.1925179990507,,820.3011772795437,,,934.227770618039,,,875.2354436818209,,
2023-08-09,915.3286800174027,,,1006.446551494832,,946.0626763448741,,822.9110608373668,,,914.7951315380542,,,877.0743747715965,,
2023-08-16,903.7072877186203,,,999.5297432662503,,911.7125295679161,,809.6783317885188,,,912.3407211167851,,,872.698299219736,,
2023-08-23,904.0035605285408,,,997.8244987108218,,915.1986351393633,,809.0463310977691,,,915.3604890004631,,,874.3948538449325,,
2023-08-30,905.8211530545553,,,994.1831377995591,,912.0561563847176,,812.2611072793026,,,920.520557350329,,,878.3982897828556,,
2023-09-06,910.3929831603695,,,988.8815572920975,,912.6704240152352,,807.7922436448615,,,929.4004289694776,,,878.9448048497486,,
2023-09-13,914.4326584961335,,,1000.5742472595814,,937.5700591211587,,808.0219884398666,,,923.9669428853673,,,880.3309779112453,,
2023-09-20,907.8141370581084,,,998.7947472690703,,928.6346582428914,,801.3379002460963,,,913.8559972268288,,,878.4794356891651,,
2023-09-27,908.9325896478217,,,998.7890727162221,,938.5393034350034,,802.7320208819364,,,910.4004198047884,,,879.4260011077467,,
2023-10-04,908.0952852076243,,,996.5053547823045,,927.7342635880381,,805.3317246546699,,,917.6499557180998,,,884.8735621845283,,
2023-10-11,908.9735044170677,,,1002.4214056529,,935.0562214629734,,808.2746070224383,,1236.4982249059583,919.6823759438817,,,887.3969360626534,,
2023-10-18,900.8625798957521,,,996.2450147919086,,916.2442117979673,,796.7966193561758,,1192.5276171405728,915.0796764554605,,,881.4213509909474,,
2023-10-25,905.0750577236548,,,1000.8336598324995,,912.6608704839789,,795.689659560887,,1156.1350839047743,914.5255365455782,,,886.7723880621668,,
2023-11-01,908.2711233820246,,,1002.6235185080994,,861.4480706800197,,798.1490467156796,,1124.1972227169056,916.6182639365513,,,891.5102529764011,,
2023-11-08,900.1582217019113,,,994.826926095139,,860.64281627007,,797.7079092533749,,1136.0481974927804,928.4268548391326,,,891.6244093130665,,
2023-11-15,906.77374812989,,,994.5914342396653,,872.2683279164779,,801.5291416887948,,1136.7275415548368,937.443575777016,,,893.5958842888967,,
2023-11-22,906.8178617395778,,,994.7764921575911,,866.605983194782,,803.9042957676643,,1099.5541824301768,942.5180656652816,,,895.8820407270225,1038.9222293028,
2023-11-29,910.8013091609905,,,998.779376473271,,878.1292557498839,,809.1392282531539,,1146.1668148066208,950.493087057977,,,900.4865015858475,1054.434011315467,
2023-12-06,920.6372412056336,,,1006.4015150990391,1072.696560872151,884.0490392669226,,814.0782406172644,,1202.6753445824465,949.9659974371855,,,906.8525368625253,1086.2339867341796,
2023-12-13,927.8453134959566,,,1014.2074464840993,1070.2073764646523,897.9697509904721,,820.7717504876043,,1240.953594059942,955.6499508976042,,,910.8256481194616,1108.788041992086,
2023-12-20,930.6922927662442,,,1017.5777544921818,1033.110309342511,919.3121733198219,,819.8875985893086,,1372.328727280728,962.6175664587278,,,911.8310546143929,1108.170003543411,
2023-12-27,929.1038371882682,,,1017.0941082557318,1061.011823283931,947.001631393519,,824.814887840105,,1402.3579394424235,969.5588492587948,,,914.6676567619511,1140.8655333863865,
2024-01-03,924.9583864451099,,,1020.6502811666278,1068.8009057726993,927.0654067986295,,822.1261611626863,,1281.51513747757,957.7292489460146,,,912.6586338448041,1090.4717396180715,
2024-01-10,926.9160888497365,,,1018.172606767346,1079.1696190697328,928.9108182955435,,818.5581791818465,,1224.8120818925074,973.9034903633541,,,914.4885062132238,1122.1767892667328,
2024-01-17,924.8924123021922,,,1016.2544388257438,1061.7880639413322,915.9826451661046,,815.8995416664914,,1158.7125512582509,972.5763199271285,,,915.5152811135939,1132.2879989647377,
2024-01-24,927.6486695862807,,,1006.1320340238664,1042.7333763038673,910.0768805280997,,821.6811865405074,,1127.1463035739528,974.1516179515652,,,919.4050902965462,1135.0279610486548,
2024-01-31,934.5523973914636,,,1011.4806461930741,1063.9033708240058,929.0550171901348,,845.2909922493249,,1152.79698612536,977.9005606056002,,,924.5532932583733,1165.5691193806065,
2024-02-07,934.5670761202737,,,1009.8547545515137,1042.4405617666494,960.780842988787,,841.7123964146778,,1141.0818459364955,992.0121909332037,,,922.7067549269077,1196.000914567637,
2024-02-14,928.8674946078023,,,998.5723646358445,1036.2554502596968,977.530813630719,,842.270920519767,,1161.3253391660676,973.3750143775711,,,923.048447530577,1284.0015686641345,
2024-02-21,928.3884506336728,,,998.7973670253658,1045.3979082740323,963.5276084181875,,847.0002598872685,,1124.0874792610657,962.9698550751472,,,923.0209127229659,1252.1149599778046,
2024-02-28,931.3959640002142,,,994.6239187539837,1038.334342416516,968.7133282247487,,842.3827338841305,991.8305852751057,1034.2940415462979,962.6849013054556,1497.4661567105397,,927.0985771311582,1270.7444179404056,
2024-03-06,945.9051826980381,,,1004.0562284353235,1048.515461334344,976.3928736024623,,846.270576632659,1004.8370246929408,1046.9925442332847,963.0421174739233,1877.7102900743948,,940.269757218198,1295.6345869470754,
2024-03-13,946.4889010314623,,,1003.1859013045843,1034.8078405677588,973.8624498778847,,840.924116054501,1027.8149607187486,1055.831884893096,971.5083249701742,1915.549284080817,,935.3121751540298,1288.6599954474866,
2024-03-20,945.304368607265,,,1002.2389073071975,1045.8691437010987,991.45904593912,,843.0994681405765,1040.5190220040215,1046.7651393824178,975.8163431056508,1589.7847027641667,,936.8817376589483,1290.474095357037,
2024-03-27,947.4272029892268,,,1003.4409446134549,1047.498811627233,1003.2463938145852,,847.2058219564117,1058.8380991086422,1040.355820901032,971.9828969580382,1722.2536219131866,,938.1281671576311,1295.1824893266726,
2024-04-03,940.0296157101104,,,1004.4109887436637,1058.2412748329596,1032.5616950291621,,843.3387406360782,1054.4461850028338,1025.0556570452964,967.1597256168714,1701.480982612925,,955.1251964527088,1278.0917737490568,
2024-04-10,937.9881214722276,,,1000.4721764576718,1047.0129844163555,1008.7695033424188,,836.0104622967281,1060.6711129235955,1008.080945980216,955.2091826611263,1560.5479461488392,,959.2164893560354,1248.865573105703,
2024-04-17,938.9104884019922,,,1000.784226983651,1032.482705365471,976.1680256692954,,836.342362997479,1063.486931825551,970.1510433568269,952.411704011471,1623.0937628764232,,953.7987711392698,1229.0676943539045,
2024-04-24,943.5858908946121,,,1007.1982545611681,1041.4935728612224,1008.439683045206,,838.6249772276105,1074.1907440594662,971.1924278597955,957.22671576302,1422.2931997533017,,938.1791850011072,1198.412847046949,
2024-05-01,938.4087307734228,,,1007.4847879910644,1046.0715995289668,972.1209402843173,,842.4899416595987,1096.270587958109,985.2459382990434,955.93837496046,1355.570434910294,,942.1813508944626,1190.7578346033076,
